id,title,circrna_id,circ_rna_name,circrna_synonyms,disease_details,method,species,expression_pattern,description
2846,Circular RNA CDR1as Exerts Oncogenic Properties Partially through Regulating MicroRNA 641 in Cholangiocarcinoma.,hsa_circ_0001946,hsa_circ_CDR1,"ciRS-7, CDR1as",cholangiocarcinoma,RT-qPCR,human,up-regulated,"CDR1as could bind with miR-641 and accelerate miR-641 degradation, which possibly leads to the upregulation of the relative mRNA levels of AKT3 and mTOR in RBE cells. "
2847,Overexpression of hsa_circ_0136666 predicts poor prognosis and initiates osteosarcoma tumorigenesis through miR-593-3p/ZEB2 pathway.,hsa_circ_0136666,-,-,osteosarcoma,RT-qPCR,human,up-regulated,Overexpression of hsa_circ_0136666 predicts poor prognosis and initiates osteosarcoma tumorigenesis through miR-593-3p/ZEB2 pathway.
2848,Circular RNA Circ_0025033 Promotes the Evolvement of Ovarian Cancer Through the Regulation of miR-330-5p/KLK4 Axis.,hsa_circ_0025033,-,Circ_0025033,ovarian cancer,RT-qPCR,human,up-regulated,This study demonstrated that circ_0025033 contributed to the progression of OC via the miR-330-5p/KLK4 axis and might be a candidate target in the identification and treatment of OC.
2849,Circular RNA circNRIP1 Sponges microRNA-138-5p to Maintain Hypoxia-Induced Resistance to 5-Fluorouracil Through HIF-1alpha-Dependent Glucose Metabolism in Gastric Carcinoma.,-,hsa_circ_NRIP1,-,gastric cancer,RT-qPCR,human,up-regulated,"circNRIP1 functioned as a miR-138-5p sponge to enhance hypoxia-induced resistance to 5-FU through modulation of HIF-1alpha-dependent glycolysis, which provides a novel potential approach to overcome hypoxia-induced 5-FU resistance in GC."
2850,"Circ_100565 promotes proliferation, migration and invasion in non-small cell lung cancer through upregulating HMGA2 via sponging miR-506-3p.",-,-,Circ_100565,non-small cell lung cancer,"RT-qPCR, microarray",human,up-regulated,"Circ_100565 increased HMGA2 expression to promote proliferation, migration and invasion in NSCLC via absorbing miR-506-3p. Our findings provided a new biomarker for NSCLC therapy."
2851,Circular RNA Expression Profiles in Nasopharyngeal Carcinoma by Sequence Analysis.,hsa_circ_0002375,hsa_circ_KITLG,-,nasopharyngeal carcinoma,"RT-qPCR, RNA-seq",human,up-regulated,"CircRNA-miRNA-target gene network analysis revealed a potential mechanism that hsa_circ_0002375 (circKITLG) may be involved in NPC through sponging up miR-3198 and interfering with its downstream targets. Silencing of circKITLG inhibited NPC cell proliferation, migration, and invasion in vitro. "
2852,Circular RNA circ_0001368 inhibited growth and invasion in renal cell carcinoma by sponging miR-492 and targeting LATS2.,hsa_circ_0001368,-,circ_0001368,renal carcinoma,RT-qPCR,human,down-regulated,circ_0001368 upregulated the LATS2 expression and suppressed ACHN and 786-O cell growth and invasion by sponging miR-492. circ_0001368 suppressed the proliferation ability of 786-O in vivo. 
2853,Circular RNA circMET drives immunosuppression and anti-PD1 therapy resistance in hepatocellular carcinoma via the miR-30-5p/snail/DPP4 axis.,hsa_circ_0082002,hsa_circ_MET,-,hepatocellular carcinoma,"RT-qPCR, RNA-seq",human,up-regulated,"circMET is an onco-circRNA that induces HCC development and immune tolerance via the Snail/DPP4/CXCL10 axis. Furthermore, sitagliptin may enhance the efficacy of anti-PD1 therapy in a subgroup of patients with HCC."
2854,Circular RNA circ_0007142 Facilitates Colorectal Cancer Progression by Modulating CDC25A Expression via miR-122-5p.,hsa_circ_0007142,-,circ_0007142,colorectal cancer,RT-qPCR,human,up-regulated,"Circ_0007142 sponged miR-122-5p and CDC25A was a target of miR-122-5p. Circ_0007142 knockdown impeded cell proliferation, colony formation, migration, and invasion in CRC cells by regulating miR-122-5p. "
2855,The interaction between circular RNA hsa_circ_0000285 and miR-599 in thyroid cancer.,hsa_circ_0000285,hsa_circ_HIPK3,-,thyroid cancer,RT-qPCR,human,up-regulated,Hsa_circ_0000285 could enhance cell metastasis of TC by targeting miR-599. Hsa_circ_0000285/miR-599 may be utilized as potential therapeutic targets in TC.
2856,Downregulation of hsa_circ_0005243 induces trophoblast cell dysfunction and inflammation via the beta-catenin and NF-kappaB pathways.,hsa_circ_0005243,hsa_circ_TMEM184B,-,diabetes,"RT-qPCR, RNA-seq",human,down-regulated,"Downregulation of hsa_circ_0005243 may be associated with the pathogenesis of GDM via the regulation of beta-catenin and NF-kappaB signal pathways, suggesting a new potential therapeutic target for GDM."
2857,"Circular RNA circTUBGCP3 Is Up-Regulated and Promotes Cell Proliferation, Migration and Survivability via Sponge _mir-30b in Osteosarcoma.",-,hsa_circ_TUBGCP3,-,osteosarcoma,"RT-qPCR, microarray",human,up-regulated,"The data indicate that circTUBGCP3 may act as a sponge of miR-30b that further alters the expression of Vimentin, and promotes the proliferation and metastatic properties of OS cells. "
2858,"Hsa_circ_0043265 Suppresses Proliferation, Metastasis, EMT and Promotes Apoptosis in Non-Small Cell Lung Cancer Through miR-25-3p/FOXP2 Pathway.",hsa_circ_0043265,hsa_circ_ACACA,-,non-small cell lung cancer,RT-qPCR,human,down-regulated,"Hsa_circ_0043265 could sponge miR-25-3p to improve FOXP2 expression, thereby inhibiting NSCLC progression. This study showed that hsa_circ_0043265 could be a potential biomarker for early diagnosis of NSCLC."
2859,Extracellular Vesicle-Mediated Delivery of Circular RNA SCMH1 Promotes Functional Recovery in Rodent and Nonhuman Primate Ischemic Stroke Models.,-,hsa_circ_SCMH1,-,acute ischemic stroke,RT-qPCR,human,dysregulated,Rabies virus glycoprotein-circSCMH1-extracellular vesicles afford protection by promoting functional recovery in the rodent and the nonhuman primate ischemic stroke models. 
2860,Circ-RNF111 contributes to paclitaxel resistance in breast cancer by elevating E2F3 expression via miR-140-5p.,-,hsa_circ_RNF111,-,breast cancer,RT-qPCR,human,up-regulated,Circ-RNF111 improved PTX resistance of BC by upregulating E2F3 via sponging miR-140-5p.
2861,The up-regulated hsa-circRNA9102-5 may be a risk factor for essential hypertension.,-,-,hsa-circRNA9102-5,essential hypertension,"RT-qPCR, microarray",human,up-regulated,"The present results suggested that hsa-circRNA9102-5 may have played a crucial role in the development of EH by sponging hsa-miR-150-5p, which showed great potential as a novel target."
2862,The circular RNA TLK1 exacerbates myocardial ischemia/reperfusion injury via targeting miR-214/RIPK1 through TNF signaling pathway.,-,mmu_circ_TLK1,-,ischemia reperfusion injury,RT-qPCR,mouse,up-regulated,The circular RNA TLK1 exacerbates myocardial ischemia/reperfusion injury via targeting miR-214/RIPK1 through TNF signaling pathway.
2863,CircFOXO3 functions as a molecular sponge for miR-143-3p to promote the progression of gastric carcinoma via upregulating USP44.,hsa_circ_0006404,hsa_circ_FOXO3,-,gastric cancer,RT-qPCR,human,up-regulated,CircFOXO3 functions as a molecular sponge for miR-143-3p to promote the progression of gastric carcinoma via upregulating USP44.
2864,Hsa_circ_0000515 is a novel circular RNA implicated in the development of breast cancer through its regulation of the microRNA-296-5p/CXCL10 axis.,hsa_circ_0000515,hsa_circ_RPPH1,-,breast cancer,RT-qPCR,human,up-regulated,Hsa_circ_0000515 is a novel circular RNA implicated in the development of breast cancer through its regulation of the microRNA-296-5p/CXCL10 axis.
2865,Circular RNA hsa_circ_0085131 is involved in cisplatin-resistance of non-small-cell lung cancer cells by regulating autophagy.,hsa_circ_0085131,hsa_circ_PABPC1,-,non-small cell lung cancer,RT-qPCR,human,up-regulated,"hsa_circ_0085131 enhances DDP-resistance of NSCLC cells through sequestering miR-654-5p to upregulate ATG7, leading to cell autophagy."
2866,Circular RNA circHIPK3 modulates the proliferation of airway smooth muscle cells by miR-326/STIM1 axis.,hsa_circ_0000284,hsa_circ_HIPK3,-,asthma,RT-qPCR,human,up-regulated,"circHIPK3 functions as a regulator in the airway remodeling during the asthma development through miR-326/STIM1 axis, providing a novel insight for the therapeutic target."
2867,Knockdown of circHomer1 ameliorates METH-induced neuronal injury through inhibiting Bbc3 expression.,-,mmu_circ_Homer1,-,neuronal injury,RT-qPCR,mouse,up-regulated,Knockdown of circHomer1 ameliorates METH-induced neuronal injury through inhibiting Bbc3 expression.
2868,Circular RNA circ_0000615 knockdown suppresses the development of nasopharyngeal cancer through regulating the miR-338-3p/FGF2 axis.,hsa_circ_0000615,hsa_circ_ZNF609,-,nasopharyngeal carcinoma,RT-qPCR,human,up-regulated,"Circ_0000615 knockdown suppressed the growth of NPC cells via modulating miR-338-3p/FGF2 axis, providing a theoretical basis for the treatment of NPC."
2869,Circular RNA circNRIP1 promotes migration and invasion in cervical cancer by sponging miR-629-3p and regulating the PTP4A1/ERK1/2 pathway.,hsa_circ_0004771,hsa_circ_NRIP1,-,cervical cancer,"RT-qPCR, microarray",human,up-regulated,Circular RNA circNRIP1 promotes migration and invasion in cervical cancer by sponging miR-629-3p and regulating the PTP4A1/ERK1/2 pathway.
2870,Circular RNA circKIF4A Sponges miR-375/1231 to Promote Bladder Cancer Progression by Upregulating NOTCH2 Expression.,hsa_circ_0007255,hsa_circ_KIF4A,-,bladder cancer,RT-qPCR,human,up-regulated,circKIF4A sponges miR-375/1231 to promote bladder cancer progression by upregulating NOTCH2.
2871,Circ_0008532 promotes bladder cancer progression by regulation of the miR-155-5p/miR-330-5p/MTGR1 axis.,hsa_circ_0008532,hsa_circ_CBFA2T2,-,bladder cancer,RT-qPCR,human,up-regulated,"Circ_0008532 may act as an oncogene in BC through a novel circ_0008532/miR-155-5p, miR-330-5p /MTGR1/Notch pathway axis, which in turn may provide potential biomarkers and a therapeutic target for the management of bladder cancer."
2872,Circular RNA hsa_circ_0000376 Participates in Tumorigenesis of Breast Cancer by Targeting miR-1285-3p.,hsa_circ_0000376,hsa_circ_PRH1-PRR4,-,breast cancer,microarray,human,down-regulated,"A novel circular RNA, hsa_circ_0000376, was identified in breast cancer that may act as a sponge targeting miR-1285-3p expression which through its target genes, SMURF1, BTRC, and TP53, may further regulate tumorigenesis."
2873,Circular RNA_0001742 has potential to predict advanced tumor stage and poor survival profiles in tongue squamous cell carcinoma management.,hsa_circ_0001742,hsa_circ_SMO,-,tongue squamous cell carcinoma,RT-qPCR,human,up-regulated,Circ_0001742 serves as a potential biomarker for advanced tumor stage and poor survival in TSCC patients.
2874,Circular RNA hsa_circ_0054537 sponges miR-130a-3p to promote the progression of renal cell carcinoma through regulating cMet pathway.,hsa_circ_0054537,hsa_circ_PSME4,-,renal carcinoma,RT-qPCR,human,up-regulated,circRNA hsa_circ_0054537 functioned as a competitive endogenous RNA to regulate cMet expression via sponging miR-130a-3p in renal cancer.
2875,Circular RNA hsa_circ_0003141 promotes tumorigenesis of hepatocellular carcinoma via a miR-1827/UBAP2 axis.,hsa_circ_0003141,hsa_circ_UBAP2,-,hepatocellular carcinoma,RT-qPCR,human,up-regulated,"hsa_circ_0003141 functions as an oncogene in HCC cells, and suggest that the hsa_circ_0003141/miR-1827/UBAP2 axis might represent a novel therapeutic option for the treatment of HCC."
2876,Circular RNA circ-MAT2B facilitates glycolysis and growth of gastric cancer through regulating the miR-515-5p/HIF-1alpha axis.,-,hsa_circ_MAT2B,-,gastric cancer,RT-qPCR,human,up-regulated,Circular RNA circ-MAT2B facilitates glycolysis and growth of gastric cancer through regulating the miR-515-5p/HIF-1alpha axis.
2877,Knockdown of circular RNA circ-FARSA restricts colorectal cancer cell growth through regulation of miR-330-5p/LASP1 axis.,-,hsa_circ_FARSA,-,colorectal cancer,RT-qPCR,human,up-regulated,"Silencing of circ-FARSA restricted the growth of CRC through regulating the miR-330-5p/LASP1 axis, providing a novel regulatory mechanism for CRC tumorigenesis."
2878,Circular RNA circCORO1C promotes laryngeal squamous cell carcinoma progression by modulating the let-7c-5p/PBX3 axis.,-,hsa_circ_CORO1C,-,laryngeal squamous cell carcinoma,"RT-qPCR, RNA-seq",human,up-regulated,"Knockdown of circCORO1C inhibited the proliferation, migration, invasion, and in vivo tumorigenesis of LSCC cells. Mechanistic studies revealed that circCORO1C competitively bound to let-7c-5p and prevented it from decreasing the level of PBX3, which promoted the epithelial-mesenchymal transition and finally facilitated the malignant progression of LSCC. "
2879,Circular RNA circSATB2 promotes progression of non-small cell lung cancer cells.,-,hsa_circ_SATB2,-,non-small cell lung cancer,RT-qPCR,human,up-regulated,circSATB2 participated in the progression of NSCLC and was differentially expressed in lung cancer tissue and serumal exosomes. circSATB2 may be potential biomarker for the diagnosis of NSCLC.
2880,Transcription activation of circ-STAT3 induced by Gli2 promotes the progression of hepatoblastoma via acting as a sponge for miR-29a/b/c-3p to upregulate STAT3/Gli2.,hsa_circ_0043800,hsa_circ_STAT3,-,hepatoblastoma,RT-qPCR,human,up-regulated,Gli2-induced circ_0043800 served as the ceRNA to promote HB by up-regulation of STAT3 and Gli2 at a miR-29a/b/c-3p dependent manner.
2881,CircRNA_101237 promotes NSCLC progression via the miRNA-490-3p/MAPK1 axis.,-,-,circRNA_101237,non-small cell lung cancer,RT-qPCR,human,down-regulated,"hsa_circRNA_101237 promoted the expression of MAPK1 via miRNA-490-3p sponge, thus affecting the NSCLC as an important onco-circRNA."
2882,Elevated Levels of circRUNX1 in Colorectal Cancer Promote Cell Growth and Metastasis via miR-145-5p/IGF1 Signalling.,-,hsa_circ_RUNX1,-,colorectal cancer,RT-qPCR,human,up-regulated,circRUNX1 functions as a tumor promotor in CRC cells by targeting the miR-145-5p/IGF1 signaling pathway and may have potential use as a prognostic indicator and therapeutic target in CRC patients.
2883,Circular RNA _CircPRMT5 Accelerates Proliferation and Invasion of Papillary Thyroid Cancer Through Regulation of miR-30c/E2F3 Axis.,-,hsa_circ_PRMT5,-,papillary thyroid cancer,RT-qPCR,human,up-regulated,circPRMT5 acts as an oncogenic circRNA to promote PTC progression via regulating miR-30c/E2F3 axis.
2884,Circular RNA_LARP4 inhibits cell migration and invasion of prostate cancer by targeting FOXO3A.,-,hsa_circ_LARP4,-,prostate cancer,RT-qPCR,human,down-regulated,Circular RNA_LARP4 could suppress cell migration and invasion of PCa by upregulating FOXO3A.
2885,Circ_0061140 promotes metastasis of bladder cancer through adsorbing microRNA-1236.,hsa_circ_0061140,hsa_circ_C20orf11,-,bladder cancer,RT-qPCR,human,up-regulated,"Circ_0061140 level was found remarkably elevated in BCa tissues, as well as in cell lines, which was closely relevant to the incidence of lymph node or distant metastasis of BCa patients. In addition, circ_0061140 may enhance the proliferation rate and invasion ability of BCa cells through the modulation of microRNA-1236."
2886,Sevoflurane impedes the progression of glioma through modulating the circular RNA has_circ_0012129/miR-761/TGIF2 axis.,hsa_circ_0012129,hsa_circ_B4GALT2,-,glioma,RT-qPCR,human,dysregulated,Sevoflurane mediated the progression of glioma via regulating the circ_0012129/miR-761/TGIF2 axis.
2887,"Circular RNA LPAR3 sponges microRNA-198 to facilitate esophageal cancer migration, invasion, and metastasis.",-,hsa_circ_LPAR3,-,esophageal cancer,"RT-qPCR, microarray",human,up-regulated,"Circular RNA LPAR3 can regulate the miR-198-MET signal axis to promote the migration, invasion, and metastasis of esophageal cancer cells, which can thereby serve as a potential diagnostic and therapeutic target of esophageal cancer."
2888,"Silencing circSLAMF6 represses cell glycolysis, migration, and invasion by regulating the miR-204-5p/MYH9 axis in gastric cancer under hypoxia.",-,hsa_circ_SLAMF6,-,gastric cancer,RT-qPCR,human,up-regulated,"CircSLAMF6 was involved in glycolysis, migration, and invasion by regulating the miR-204-5p/MYH9 axis in GC cells under hypoxia."
2889,Circular RNA COL1A2 promotes angiogenesis via regulating miR-29b/VEGF axis in diabetic retinopathy.,hsa_circ_0081108,hsa_circ_COL1A2,-,diabetic retinopathy,RT-qPCR,human,up-regulated,"circCOL1A2 facilities angiogenesis during the pathological progression of DR via regulating miR-29b/VEGF axis, suggesting that targeting circCOL1A2 may be a potential treatment for DR."
2890,CircTP53 promotes the proliferation of thyroid cancer via targeting miR-1233-3p/MDM2 axis.,-,hsa_circ_TP53,-,thyroid cancer,RT-qPCR,human,up-regulated,overexpressed circTP53 decreased the protein level of p53 via targeting miR-1233-3p/MDM2 axis and promoted cancer cell proliferation.
2891,Circular RNA circ_0124644 exacerbates the ox-LDL-induced endothelial injury in human vascular endothelial cells through regulating PAPP-A by acting as a sponge of miR-149-5p.,hsa_circ_0124644,hsa_circ_ROBO2,-,atherosclerosis,RT-qPCR,human,up-regulated,Circular RNA circ_0124644 exacerbates the ox-LDL-induced endothelial injury in human vascular endothelial cells through regulating PAPP-A by acting as a sponge of miR-149-5p.
2892,CircTLK1 promotes the proliferation and metastasis of renal cell carcinoma by sponging miR-136-5p.,-,hsa_circ_TLK1,-,renal carcinoma,RT-qPCR,human,up-regulated,circTLK1 plays a critical role in RCC progression by sponging miR-136-5p to increase CBX4 expression. circTLK1 may act as a diagnostic biomarker and therapeutic target for RCC.
2893,Circular RNA hsa_circ_0078607 suppresses ovarian cancer progression by regulating miR-518a-5p/Fas signaling pathway.,hsa_circ_0078607,hsa_circ_SLC22A3,-,ovarian cancer,RT-qPCR,human,down-regulated,"that circ_0078607 suppressed ovarian cancer progression by sponging oncogenic miR-518a-5p to induce Fas expression, which may provide new therapeutic approach for ovarian cancer."
2894,CircRNA 001372 Reduces Inflammation in Propofol-Induced Neuroinflammation and Neural Apoptosis through PIK3CA/Akt/NF-kappaB by miRNA-148b-3p.,-,-,circRNA001372,neurotoxicity and neuroinflammation,RT-qPCR,mouse,down-regulated,CircRNA001372 suppresses propofol-induced neurotoxicity and neuroinflammation through PI3K/Akt/NF-kappaB signaling pathway in rat brain and neurocytes. MiRNA-148b-3p antagonizes the effects of circRNA001372.
2895,Suppression of Circular RNA Hsa_circ_0109320 Attenuates Non-Small Cell Lung Cancer Progression via MiR-595/E2F7 Axis.,hsa_circ_0109320,hsa_circ_ZNF91,-,non-small cell lung cancer,RT-qPCR,human,up-regulated,"Circ_0109320/miR-595/E2F2 axis may exert a pivotal role in the pathological mechanism of NSCLC progression, and it has potential application in the future treatment of NSCLC."
2896,CircRNA circ_POLA2 promotes lung cancer cell stemness via regulating the miR-326/GNB1 axis.,hsa_circ_0022812,hsa_circ_POLA2,-,lung cancer,RT-qPCR,human,up-regulated,"circ_POLA2 promotes lung cancer cell stemness and progression via regulating the miR-326/GNB1 axis, which might serve as a novel therapeutic target for lung cancer patients."
2897,Circular RNA circSLC25A16 contributes to the glycolysis of non-small-cell lung cancer through epigenetic modification.,hsa_circ_0018534,hsa_circ_SLC25A16,-,non-small cell lung cancer,"RT-qPCR, microarray",human,up-regulated,"the crucial function of circSLC25A16 on NSCLC glycolysis through miR-488-3p/HIF-1alpha/LDHA, suggesting the underlying pathogenesis for NSCLC and providing a therapeutic strategy for precise treatment."
2898,"Increased AT(2)R expression is induced by AT(1)R autoantibody via two axes, Klf-5/IRF-1 and circErbB4/miR-29a-5p, to promote VSMC migration.",-,hsa_circ_ErbB4,-,vascular disease,microarray,human,up-regulated,"Increased AT(2)R expression is induced by AT(1)R autoantibody via two axes, Klf-5/IRF-1 and circErbB4/miR-29a-5p, to promote VSMC migration."
2899,Circular RNA circ-CSPP1 regulates CCNE2 to facilitate hepatocellular carcinoma cell growth via sponging miR-577.,-,hsa_circ_CSPP1,-,hepatocellular carcinoma,"RT-qPCR, microarray",human,up-regulated,"circ-CSPP1 contributed to HCC progression by positively regulating CCNE2 via miR-577, thus established its potential as new a prognostic and therapeutic marker for HCC patients."
2900,Circular RNA-9119 protects IL-1beta-treated chondrocytes from apoptosis in an osteoarthritis cell model by intercepting the microRNA-26a/PTEN axis.,-,-,circRNA-9119,osteoarthritis,"RT-qPCR, microarray",human,down-regulated,"CircRNA-9119 is an important regulator of IL-1beta-treated chondrocytes through the miR-26a/PTEN axis, possibly contributing to OA development."
2901,Circular RNA (circRNA) CDYL Induces Myocardial Regeneration by ceRNA After Myocardial Infarction.,-,mmu_circ_CDYL,-,acute myocardial Infarction,RT-qPCR,mouse,down-regulated,CircCDYL can promote the proliferation of cardiomyocytes through the miR-4793-5p/APP pathway.
2902,Circ_0000517 Contributes to Hepatocellular Carcinoma Progression by Upregulating TXNDC5 via Sponging miR-1296-5p.,hsa_circ_0000517,hsa_circ_RPPH1,-,hepatocellular carcinoma,RT-qPCR,human,up-regulated,Circ_0000517 accelerated HCC progression by upregulating TXNDC5 through sponging miR-1296-5p.
2903,Circ_0072088 promotes the development of non-small cell lung cancer via the miR-377-5p/NOVA2 axis.,hsa_circ_0072088,hsa_circ_ZFR,-,non-small cell lung cancer,RT-qPCR,human,up-regulated,Circ_0072088 facilitated the proliferation and metastasis of NSCLC cells through upregulating NOVA2 via functioning as a competitive endogenous RNA (ceRNA) for miR-377-5p.
2904,The circRNA-MYLK plays oncogenic roles in the Hep-2 cell line by sponging microRNA-145-5p.,-,hsa_circ_MYLK,-,laryngeal cancer,RT-qPCR,human,up-regulated,circRNA-MYLK had oncogenic roles via targeting miR-145-5p in the Hep-2 cell line via stimulating MEK/ERK and NF-kappaB cascades.
2905,circCYFIP2 Acts as a Sponge of miR-1205 and Affects the Expression of Its Target Gene E2F1 to Regulate Gastric Cancer Metastasis.,hsa_circ_0003506,hsa_circ_CYFIP2,-,gastric cancer,"RT-qPCR, microarray",human,up-regulated,"circCYFIP2 might serve as an oncogenic circRNA to promote GC progression via the miR-1205/E2F1 axis, which provided a potential therapeutic target for the treatment of GC."
2906,circFMN2 Sponges miR-1238 to Promote the Expression of LIM-Homeobox Gene 2 in Prostate Cancer Cells.,-,hsa_circ_FMN2,-,prostate cancer,"RT-qPCR, microarray",human,down-regulated,circFMN2 acts as a competing endogenous RNA (ceRNA) for miR-1238 to regulate LIM-homeobox gene 2 (LHX2) expression. circFMN2 regulates the miR-1238/LHX2 axis to promote PCa progression.
2907,Circular RNA circUBAP2 regulates proliferation and invasion of osteosarcoma cells through miR-641/YAP1 axis.,-,hsa_circ_UBAP2,-,osteosarcoma,RT-qPCR,human,up-regulated,Knockdown of circUBAP2 impeded proliferation and invasion of OS cells by downregulating the expression of YAP1 via sponging miR-641.
2908,Circular RNA circZNF566 promotes hepatocellular carcinoma progression by sponging miR-4738-3p and regulating TDO2 expression.,-,hsa_circ_ZNF566,-,hepatocellular carcinoma,"RT-qPCR, RNA-seq",human,up-regulated,"High circZNF566 expression in HCC tissues was positively correlated with clinicopathological features and poor prognosis. Functionally, in vitro experiments showed that circZNF566 promoted HCC cell migration, invasion, and proliferation, whereas in vivo experiments showed that circZNF566 promoted tumorigenesis and metastasis. "
2909,Circular RNA-hsa-circ-0000670 promotes gastric cancer progression through the microRNA-384/SIX4 axis.,hsa_circ_0000670,hsa_circ_C16orf72,-,gastric cancer,"RT-qPCR, microarray",human,up-regulated,Circular RNA-hsa-circ-0000670 promotes gastric cancer progression through the microRNA-384/SIX4 axis.
2910,"Knockdown of circ_0003340 induces cell apoptosis, inhibits invasion and proliferation through miR-564/TPX2 in esophageal cancer cells.",hsa_circ_0003340,hsa_circ_OGDH,-,esophageal cancer,RT-qPCR,human,down-regulated,"Knockdown of circ_0003340 induces cell apoptosis, inhibits invasion and proliferation through miR-564/TPX2 in esophageal cancer cells."
2911,"[Circular RNA-UBXN7 promotes proliferation, migration and suppresses apoptosis in hepatocellular cancer].",-,hsa_circ_UBXN7,-,hepatocellular cancer,RT-qPCR,human,up-regulated,"circ_UBXN7 plays an important role in promoting the occurrence and development of liver cancer, and is expected to become a potential target for the treatment of liver cancer."
2912,Hsa_circ_0003732 promotes osteosarcoma cells proliferation via miR-545/CCNA2 axis.,hsa_circ_0003732,hsa_circ_HUWE1,-,osteosarcoma,"RT-qPCR, microarray",human,up-regulated,hsa_circ_0003732 promotes OS cells proliferation via miR-545/CCNA2 axis and imply hsa_circ_0003732 may be a potential prognosis biomarker and therapeutic target for OS.
2913,Circular RNA FUNDC1 improves prediction of stroke associated infection in acute ischemic stroke patients with high risk.,hsa_circ_0007290,hsa_circ_FUNDC1,-,acute ischemic stroke,RT-qPCR,human,up-regulated,circFUNDC1 could be used to construct a risk model for the prediction of SAI that is beneficial for AIS patients preventive treatment.
2914,circPUM1 promotes polycystic ovary syndrome progression by sponging to miR-760.,hsa_circ_0000043,hsa_circ_PUM1,-,polycystic ovary syndrome,RT-qPCR,human,up-regulated,circPUM1 promotes PCOS progression through sponging to miR-760. We may provide a promising therapeutic target for PCOS.
2915,Circular RNA Gprc5a Promotes HCC Progression by Activating YAP1/TEAD1 Signalling Pathway by Sponging miR-1283.,-,hsa_circ_Gprc5a,-,hepatocellular carcinoma,RT-qPCR,human,up-regulated,"Knockout of circGprc5a inhibited proliferation of HCC and induced apoptosis. CircGprc5a activated the YAP1/TEAD1 signaling pathway by acting as a sponge for miR-1283. Furthermore, overexpression of miR-1283 abolished the promotion of circGprc5a on HCC cells. "
2916,CircHIPK3 Facilitates the G2/M Transition in Prostate Cancer Cells by Sponging miR-338-3p.,hsa_circ_0000284,hsa_circ_HIPK3,-,prostate cancer,RT-qPCR,human,up-regulated,CircHIPK3 promotes G2/M transition and induces PCa cell proliferation by sponging miR-338-3p and increasing the expression of Cdc25B and Cdc2. CircHIPK3 may play an oncogenic role in PCa.
2917,Circular RNA hsa_circ_0131242 Promotes Triple-Negative Breast Cancer Progression by Sponging hsa-miR-2682.,hsa_circ_0131242,hsa_circ_MAP3K4,-,triple-negative breast cancer,"RT-qPCR, microarray",human,up-regulated,Our study identified hsa_circ_0131242 expression in TNBC for the first time and found that hsa_circ_0131242 may promote triple-negative breast cancer progression by sponging hsa-miR-2682.
2918,Upregulation of hsa_circRNA_102958 Indicates Poor Prognosis and Promotes Ovarian Cancer Progression Through miR-1205/SH2D3A Axis.,-,-,hsa_circ_102958,ovarian cancer,RT-qPCR,human,up-regulated,"Knockdown of hsa_circRNA_102958 significantly suppressed the proliferation, migration and invasion of OC cells and vice versa. hsa_circRNA_102958 was a competing endogenous RNA (ceRNA) for miR-1205. hsa_circRNA_102958 inhibited miR-1205 activity to promote SH2D3A expression. Overexpression of SH2D3A promoted proliferation, migration and invasion of OC cells."
2919,Circ-APBB1IP as a Prognostic Biomarker Promotes Clear Cell Renal Cell Carcinoma Progression Through The ERK1/2 Signaling Pathway.,-,hsa_circ_APBB1IP,-,clear cell renal cell carcinoma,"RT-qPCR, microarray",human,up-regulated,"knockdown of circ-APBB1IP by siRNA suppressed the proliferation, migration, and invasion and increased the apoptosis of ccRCC cells. Further study found that knockdown of circ-APBB1IP up-regulated protein expression of cleaved caspase-3, cleaved caspase-7, cleaved caspase-8, cleaved caspase-9, Bax, Bad, Bak, E-cadherin and down-regulated expression of Bcl-2, N-cadherin, MMP-2, MMP-9, p-ERK1/2. "
2920,Upregulated Circular RNA hsa_circ_0008433 Regulates Pathogenesis in Endometriosis Via miRNA.,hsa_circ_0008433,hsa_circ_PDE4B,-,endometriosis,"RT-qPCR, RNA-seq",human,up-regulated,"The hsa_circ_0008433 knockdown inhibited endometrial stromal cell proliferation, migration, colony formation, and angiopoiesis; promoted cell apoptosis; and downregulated Ki67 and PCNA expression levels. Moreover, the hsa_circ_0008433 knockdown increased Bax and E-CAD expression and decreased Bcl2, CDKN1B, and CyclinD1 levels."
2921,Circ_LDLR promoted the development of papillary thyroid carcinoma via regulating miR-195-5p/LIPH axis.,-,hsa_circ_LDLR,-,papillary thyroid cancer,RT-qPCR,human,up-regulated,"Silencing of circ_LDLR suppressed PTC cell colony formation, proliferation, migration and invasion and promoted apoptosis in vitro and hampered tumor growth in vivo."
2922,"Matrine inhibits cell growth, migration, invasion and promotes autophagy in hepatocellular carcinoma by regulation of circ_0027345/miR-345-5p/HOXD3 axis.",hsa_circ_0027345,hsa_circ_LRIG3,-,hepatocellular carcinoma,RT-qPCR,human,up-regulated,Matrine inhibited cell development and tumorigenesis in HCC by increasing miR-345-5p and decreasing circ_0027345 and HOXD3.
